,Model,R2-training,R2-testing,MAPE-training,MAPE-testing,scaler,r2_relative_difference,overfitting
0,LinearRegression,0.8254095524784638,0.8139898735302309,0.1160811420271323,0.11912298099087718,StandardScaler,0.01,False
1,RidgeRegression,0.8253236784498794,0.8143278820077302,0.11557617306798078,0.11852248725347822,StandardScaler,0.01,False
2,LassoRegression,0.8125552921295587,0.8077916476058637,0.11118499034612961,0.11325837642004062,StandardScaler,0.01,False
3,RandomForest,0.9815265152777339,0.8728291588387715,0.031151751471931964,0.08290887925083389,StandardScaler,0.11,True
4,GradientBoosting,0.970379098004357,0.8790661398587076,0.046030951840971376,0.08290957535553885,StandardScaler,0.09,False
5,SupportVectorRegression,0.8357399972119957,0.8254002063400332,0.08951539081627984,0.09681713521392742,StandardScaler,0.01,False
6,K-Nearest-Neighbors,0.9043839254353945,0.8580084634934007,0.07279549649873174,0.09071161094848844,StandardScaler,0.05,False
7,DecisionTree,1.0,0.7841533184308017,-0.0,0.10599240639829206,StandardScaler,0.22,True
8,XGBoost,0.9999883442507693,0.8585998081937914,0.0008745575717562161,0.0830347516748235,StandardScaler,0.14,True
9,LinearRegression,0.8654088120128982,0.8525896671706624,0.08999168712833071,0.09366585289407728,Normalizer,0.01,False
10,RidgeRegression,0.11715238612883919,0.11452587310292761,0.29552599246889466,0.29587344498039103,Normalizer,0.02,False
11,LassoRegression,0.0,-0.004386312585089503,0.31811593862018883,0.31853069779557797,Normalizer,,False
12,RandomForest,0.9751436352412728,0.813273231472824,0.03740710499222344,0.10304134609150872,Normalizer,0.17,True
13,GradientBoosting,0.9736458820674543,0.8262425415145194,0.0459107426357094,0.10043454923239452,Normalizer,0.15,True
14,SupportVectorRegression,0.025784240302256012,0.022283963324308688,0.29835980166394366,0.298713352628094,Normalizer,0.14,True
15,K-Nearest-Neighbors,0.8648971903184501,0.7978196715066865,0.08786469930547716,0.10639281411806938,Normalizer,0.08,False
16,DecisionTree,1.0,0.6894986536415495,-0.0,0.1347804446368137,Normalizer,0.31,True
17,XGBoost,0.9999947153732048,0.8117371454132742,0.0005990014028601791,0.1036726366412641,Normalizer,0.19,True
